origen	destino	minutos	kms
A	B	21	15,3
A	B	32	17,1
A	B	37	21,1
A	C	13	3,9
A	C	13	3,8
A	C	14	5,1
A	D	13	10,7
A	D	25	11,2
A	E	17	5,5
A	E	18	6,9
A	E	21	9,6
A	F	27	19,4
A	F	32	28,1
A	F	39	25,2
A	G	24	12,9
A	G	41	13,5
A	H	17	11,4
A	H	20	12
A	H	26	11,8
A	I	22	9,5
A	I	21	11,7
A	I	32	10,5
A	J	25	17,5
A	K	23	17,8
A	L	30	24,5
A	L	36	22,4
A	L	38	24,7
A	M	30	15,8
A	M	33	14,2
A	M	36	13,3
A	N	20	15,7
A	N	31	16,9
A	O	23	11,7
A	O	23	15,2
B	C	26	15,7
B	C	29	13
B	C	37	21,2
B	D	16	4,6
B	D	15	5,1
B	D	17	4,3
B	E	34	20,2
B	E	38	20,1
B	E	44	25,7
B	F	15	4,9
B	F	17	5,5
B	F	19	5,4
B 	G	39	10,7
B 	G	41	10,8
B 	G	39	23,4
B	H	18	9,5
B	H	27	9,9
B	H	28	9,6
B	I	25	15,7
B	I	33	16,1
B	I	35	20,5
B	J	41	28,1
B	J	44	21,1
B	J	45	19,4
B	K	38	28,4
B	K	47	25,3
B	K	46	33,9
B	L	23	5,5
B	L	25	5,5
B	L	25	7,9
B	M	27	7,6
B	M	31	7,6
B	M	33	7,7
B	N	24	14,3
B	N	28	9,3
B	N	35	14,6
B	O	25	13,3
C	D	18	10,6
C	D	20	8,8
C	D	24	12,6
C	E	17	4,5
C	E	17	6,4
C	E	18	5,8
C	F	29	24,3
C	F	38	21,3
C	G	21	9,5
C	G	26	7,9
C	G	29	9,2
C	H	22	11,2
C	H	23	9,5
C	H	27	13,3
C	I	30	15,8
C	I	34	14,5
C	J	22	13,7
C	K	19	14
C	L	26	21,4
C	L	41	12,5
C	L	42	14,1
C	M	27	8,2
C	M	26	8,1
C	M	27	8,9
C	N	27	16
C	N	44	19,7
C	O	25	12,9
C	O	31	13,6
C	O	29	13,3
D	E	26	16
D	E	29	15,9
D	E	35	21,5
D	F	25	9,1
D	F	25	13,7
D	G	30	19,6
D	G	37	10,1
D	G	39	9,8
D	H	10	5,3
D	H	13	5,3
D	H	16	5,2
D	I	16	11,5
D	I	19	10,8
D	J	31	23,9
D	J	37	29,4
D	J	45	19,1
D	K	28	24,2
D	K	34	29,8
D	K	42	19,4
D	L	34	9,3
D	L	35	9,3
D	L	35	9,9
D	M	26	7,7
D	M	28	8,7
D	M	29	9,4
D	N	16	10,1
D	N	27	10,3
D	O	15	9,1
E	F	31	23,9
E	F	43	23,7
E	F	53	29,5
E	G	24	8,7
E	G	25	7,9
E	G	27	7,7
E	H	27	16,2
E	H	28	16,6
E	H	34	16,3
E	I	32	11,6
E	I	31	13,1
E	I	36	16,9
E	J	25	13,4
E	J	27	14,7
E	K	22	13,7
E	K	24	15
E	L	29	20,3
E	M	27	10
E	M	28	11,6
E	M	31	9,8
E	N	34	21
E	N	36	21,3
E	N	47	22,1
E	O	32	16,5
E	O	34	19,5
E	O	34	16,9
F	G	35	10,7
F	G	34	19,5
F	G	41	12,2
F	H	25	14,8
F	I	45	29,1
F	I	57	36,4
F	I	57	34,6
F	J	28	15,7
F	J	31	15,7
F	K	27	18
F	K	31	18,1
F	L	14	3,9
F	L	16	4,7
F	L	17	4,7
F	M	26	7,6
F	M	31	9,1
F	M	34	8,2
F	N	34	19,6
F	N	42	13,8
F	N	50	25,1
F	O	34	19,6
F	O	42	13,8
F	O	50	25,1
G	H	37	18,8
G	H	36	19,3
G	H	41	19,4
G	I	44	19,9
G	I	43	20,5
G	I	64	24,0
G	J	22	10,1
G	K	18	9,7
G	L	25	16,4
G	L	28	10,6
G	L	29	9,5
G	M	11	3,4
G	M	13	3,5
G	M	13	3,5
G	N	44	23,5
G	N	44	24,0
G	N	52	25,2
G	O	40	19,0
G	O	40	22,6
H	I	44	19,9
H	I	43	20,5
H	I	64	24
H	J	30	23,4
H	J	33	25,4
H	J	42	30,1
H	K	26	23,8
H	K	28	25,7
H	L	31	17,3
H	L	33	30,4
H	L	34	19,6
H	M	33	21,7
H	M	38	13
H	M	38	14
H	N	16	10,7
H	N	20	11,1
H	N	21	13,9
H	O	8	4,7
H	O	12	6,3
I	J	36	26,8
I	J	56	34,7
I	K	32	27,2
I	K	45	42,7
I	K	48	31,6
I	L	38	33,8
I	M	38	25,1
I	M	58	33,2
I	N	33	25,4
I	N	41	27,2
I	N	50	31,1
I	O	28	21
I	O	34	17,4
J	K	13	4,5
J	K	13	4,7
J	K	13	6,1
J	L	18	12,1
J	M	25	7,9
J	M	26	8,4
J	M	29	9
J	N	40	28,7
J	N	47	30,4
J	N	47	34
J	O	36	24,2
J	O	38	27,8
K	L	21	15,7
K	M	24	9,7
K	M	25	10,4
K	M	26	13,1
K	N	38	28,8
K	N	45	30,5
K	N	48	37,7
K	O	39	28,8
K	O	46	30,5
K	O	49	37,7
L	M	20	5,9
L	M	20	5,7
L	M	23	7,9
L	N	42	24
L	N	45	17,8
L	N	50	36,8
L	O	37	22,9
L	O	40	32,4
L	O	43	35,9
M	N	41	18,1
M	N	42	27,9
M	N	44	29,7
M	O	35	18,6
M	O	37	21,6
M	O	40	25,1
N	O	21	11,3
N	O	20	12,2
N	O	21	14,6
